"OCEAN","REGION","MAJOR_GROUP","ORDER","FAMILY","SPECIES"
"Atlantic","Mediterranean and Black Sea","PISCES","PERCOIDEI","SPARIDAE","SBA"
"Atlantic","Mediterranean and Black Sea","PISCES","PERCOIDEI","SPARIDAE","SWA"
"Atlantic","Atlantic, Southeast","PISCES","SCOMBROIDEI","TRICHIURIDAE","SFS"
"Atlantic","Atlantic, Southeast","PISCES","STROMATEOIDEI, ANABANTOIDEI","CENTROLOPHIDAE","HDW"
"Atlantic","Atlantic, Southeast","PISCES","SCOMBROIDEI","ISTIOPHORIDAE","BUM"
"Atlantic","Atlantic, Southeast","PISCES","CLUPEIFORMES","PRISTIGASTERIDAE","ILI"
"Atlantic","Atlantic, Southeast","PISCES","PLEURONECTIFORMES","SOLEIDAE","SOW"
"Atlantic","Atlantic, Eastern Central","PISCES","PLEURONECTIFORMES","SOLEIDAE","SOX"
"Atlantic","Atlantic, Southeast","PISCES","PERCOIDEI","SPARIDAE","PAR"
"Atlantic","Atlantic, Southeast","PISCES","PERCOIDEI","SPARIDAE","SRG"
"Pacific","Pacific, Southwest","PISCES","TETRAODONTIFORMES","MONACANTHIDAE","FFX"
"Southern","Indian Ocean, Antarctic","PISCES","SALMONIFORMES","ALEPOCEPHALIDAE","ALH"
"Indian","Indian Ocean, Eastern","PISCES","MYCTOPHIFORMES","MYCTOPHIDAE","LAC"
"Southern","Indian Ocean, Antarctic","PISCES","MYCTOPHIFORMES","MYCTOPHIDAE","LXX"
"Atlantic","Atlantic, Southwest","PISCES","ANGUILLIFORMES","CONGRIDAE","COX"
"Pacific","Pacific, Southwest","PISCES","ZEIFORMES","ZEIDAE","ZNE"
"Indian","Indian Ocean, Eastern","PISCES","ZEIFORMES","OREOSOMATIDAE","ONV"
"Pacific","Pacific, Southwest","PISCES","ZEIFORMES","OREOSOMATIDAE","ONV"
"Indian","Indian Ocean, Eastern","PISCES","ZEIFORMES","OREOSOMATIDAE","SSO"
"Southern","Atlantic, Antarctic","PISCES","SCORPAENIFORMES","SCORPAENIDAE","SCO"
"Southern","Indian Ocean, Antarctic","PISCES","PERCOIDEI","CHANNICHTHYIDAE","SGI"
"Southern","Indian Ocean, Antarctic","PISCES","PERCOIDEI","CHANNICHTHYIDAE","KIF"
"Southern","Indian Ocean, Antarctic","PISCES","PERCOIDEI","CHANNICHTHYIDAE","LIC"
"Southern","Indian Ocean, Antarctic","PISCES","PERCOIDEI","CHANNICHTHYIDAE","ICX"
"Indian","Indian Ocean, Eastern","PISCES","PERCOIDEI","NOTOTHENIIDAE","NOS"
"Southern","Indian Ocean, Antarctic","PISCES","PERCOIDEI","NOTOTHENIIDAE","NOA"
"Southern","Indian Ocean, Antarctic","PISCES","PERCOIDEI","NOTOTHENIIDAE","NOZ"
"Southern","Indian Ocean, Antarctic","PISCES","PERCOIDEI","NOTOTHENIIDAE","TRT"
"Pacific","Pacific, Southwest","PISCES","STROMATEOIDEI, ANABANTOIDEI","CENTROLOPHIDAE","BWA"
"Atlantic","Atlantic, Southwest","PISCES","SCORPAENIFORMES","TRIGLIDAE","SRA"
"Atlantic","Atlantic, Southwest","PISCES","CLUPEIFORMES","CLUPEIDAE","MHS"
"Atlantic","Atlantic, Southwest","MOLLUSCA","CEPHALOPODA","OCTOPODIDAE","OCT"
"Atlantic","Atlantic, Southwest","PISCES","ATHERINIFORMES","ATHERINIDAE","OWM"
"Atlantic","Atlantic, Southwest","PISCES","ATHERINIFORMES","ATHERINIDAE","SIL"
"Atlantic","Atlantic, Southwest","PISCES","PERCOIDEI","CARANGIDAE","RSC"
"Atlantic","Atlantic, Southwest","PLANTAE AQUATICAE","PHAEOPHYCEAE","","SWB"
"Indian","Indian Ocean, Eastern","PISCES","STROMATEOIDEI, ANABANTOIDEI","CENTROLOPHIDAE","CEN"
"Indian","Indian Ocean, Eastern","PISCES","SCORPAENIFORMES","SCORPAENIDAE","HFR"
"Indian","Indian Ocean, Eastern","PISCES","SCORPAENIFORMES","SCORPAENIDAE","SCO"
"Pacific","Pacific, Southwest","PISCES","SCORPAENIFORMES","SCORPAENIDAE","SCO"
"Indian","Indian Ocean, Eastern","PISCES","SCORPAENIFORMES","TRIGLIDAE","KUG"
"Atlantic","Atlantic, Southwest","PISCES","RAJIFORMES","RAJIDAE","JRT"
"","Marine areas outside the Antarctic","MAMMALIA","MYSTICETI","BALAENOPTERIDAE","MIW"
"Pacific","Pacific, Western Central","PISCES","PERCOIDEI","SILLAGINIDAE","WHS"
"Atlantic","Atlantic, Southwest","PLANTAE AQUATICAE","RHODOPHYCEAE","GRACILARIACEAE","GLS"
"Atlantic","Atlantic, Southwest","PLANTAE AQUATICAE","RHODOPHYCEAE","GIGARTINACEAE","GHG"
"Atlantic","Atlantic, Southwest","PLANTAE AQUATICAE","CHLOROPHYCEAE","","SWG"
"Atlantic","Atlantic, Southwest","PLANTAE AQUATICAE","PLANTAE AQUATICAE MISCELLANEA","","APL"
"Pacific","Pacific, Southwest","PISCES","PERCOIDEI","SPARIDAE","GSU"
"Indian","Indian Ocean, Eastern","PISCES","PERCOIDEI","SPARIDAE","SBX"
"Atlantic","Atlantic, Southwest","PISCES","RAJIFORMES","RAJIDAE","JRY"
"Southern","Pacific, Antarctic","PISCES","RAJIFORMES","RAJIDAE","BEA"
"Southern","Pacific, Antarctic","PISCES","RAJIFORMES","RAJIDAE","BAM"
"Atlantic","Atlantic, Southwest","PISCES","RAJIFORMES","RAJIDAE","BZB"
"Atlantic","Atlantic, Southwest","PISCES","RAJIFORMES","RAJIDAE","BZM"
"Atlantic","Atlantic, Southwest","PISCES","RAJIFORMES","RAJIDAE","DPV"
"Atlantic","Atlantic, Southwest","PISCES","RAJIFORMES","RAJIDAE","RRW"
"Atlantic","Atlantic, Southwest","PISCES","RAJIFORMES","RAJIDAE","YBQ"
"Atlantic","Atlantic, Southwest","PISCES","RAJIFORMES","RAJIDAE","YAW"
"Atlantic","Atlantic, Southwest","PISCES","RAJIFORMES","MYLIOBATIDAE","EAG"
"","Oceania - Inland waters","PISCES","ANGUILLIFORMES","ANGUILLIDAE","ELX"
"Southern","Indian Ocean, Antarctic","PISCES","GADIFORMES","MACROURIDAE","MNI"
"Indian","Indian Ocean, Eastern","PISCES","GADIFORMES","MACROURIDAE","RTX"
"Indian","Indian Ocean, Eastern","PISCES","GADIFORMES","","GAD"
"Pacific","Pacific, Western Central","PISCES","GADIFORMES","","GAD"
"Pacific","Pacific, Southwest","PISCES","PERCOIDEI","SILLAGINIDAE","WHS"
"Indian","Indian Ocean, Eastern","PISCES","PERCOIDEI","ARRIPIDAE","RUF"
"Indian","Indian Ocean, Eastern","PISCES","PERCOIDEI","ARRIPIDAE","ASA"
"Pacific","Pacific, Southwest","PISCES","PERCOIDEI","ARRIPIDAE","ASA"
"Pacific","Pacific, Southwest","PISCES","PERCOIDEI","SPARIDAE","SBX"
"Indian","Indian Ocean, Eastern","PISCES","PERCOIDEI","KYPHOSIDAE","GIY"
"Indian","Indian Ocean, Eastern","PISCES","PERCOIDEI","CENTROPOMIDAE","GIP"
"Pacific","Pacific, Western Central","PISCES","PERCOIDEI","CENTROPOMIDAE","GIP"
"Indian","Indian Ocean, Eastern","PISCES","PLEURONECTIFORMES","PLEURONECTIDAE","FSA"
"Pacific","Pacific, Southwest","PISCES","PLEURONECTIFORMES","PLEURONECTIDAE","FSA"
"Indian","Indian Ocean, Eastern","PISCES","PLEURONECTIFORMES","","FLX"
"Pacific","Pacific, Southwest","PISCES","PLEURONECTIFORMES","","FLX"
"Indian","Indian Ocean, Eastern","PISCES","OPHIDIIFORMES","OPHIDIIDAE","CUS"
"Pacific","Pacific, Southwest","PISCES","ZEIFORMES","OREOSOMATIDAE","SSO"
"Indian","Indian Ocean, Eastern","PISCES","PERCOIDEI","CHEILODACTYLIDAE","MOW"
"Pacific","Pacific, Western Central","PISCES","PERCOIDEI","CHEILODACTYLIDAE","MOW"
"Pacific","Pacific, Southwest","PISCES","PERCOIDEI","CHEILODACTYLIDAE","MOW"
"Pacific","Pacific, Southwest","PISCES","PERCOIDEI","EPIGONIDAE","EPI"
"Indian","Indian Ocean, Eastern","PISCES","SCOMBROIDEI","GEMPYLIDAE","SNK"
"Southern","Indian Ocean, Antarctic","PISCES","PERCOIDEI","NOTOTHENIIDAE","NOX"
"Indian","Indian Ocean, Eastern","PISCES","PERCOIDEI","","PRC"
"Pacific","Pacific, Western Central","PISCES","PERCOIDEI","","PRC"
"Pacific","Pacific, Southwest","PISCES","PERCOIDEI","","PRC"
"Southern","Atlantic, Antarctic","PISCES","PERCOIDEI","BATHYDRACONIDAE","PGE"
"Atlantic","Atlantic, Southwest","PISCES","CLUPEIFORMES","CLUPEIDAE","FAS"
"Atlantic","Atlantic, Southwest","PISCES","CLUPEIFORMES","","CLU"
"Atlantic","Atlantic, Southwest","PISCES","PERCOIDEI","CARANGIDAE","YTC"
"Atlantic","Atlantic, Southwest","PISCES","STROMATEOIDEI, ANABANTOIDEI","STROMATEIDAE","TMB"
"Atlantic","Atlantic, Southwest","PISCES","STROMATEOIDEI, ANABANTOIDEI","STROMATEIDAE","ERP"
"Pacific","Pacific, Western Central","PISCES","SCORPAENIFORMES","TRIGLIDAE","KUG"
"Pacific","Pacific, Southwest","PISCES","SCORPAENIFORMES","TRIGLIDAE","KUG"
"Indian","Indian Ocean, Eastern","PISCES","SCORPAENIFORMES","TRIGLIDAE","BEG"
"Pacific","Pacific, Southwest","PISCES","SCORPAENIFORMES","TRIGLIDAE","BEG"
"Atlantic","Atlantic, Southwest","MOLLUSCA","BIVALVIA","MYTILIDAE","MSC"
"Atlantic","Atlantic, Southwest","MOLLUSCA","BIVALVIA","VENERIDAE","TPS"
"Atlantic","Atlantic, Southwest","MOLLUSCA","BIVALVIA","CARDIIDAE","TIX"
"","Marine areas outside the Antarctic","MAMMALIA","MYSTICETI","BALAENIDAE","EUA"
"Pacific","Pacific, Southwest","PISCES","PERCOIDEI","KYPHOSIDAE","GIY"
"Indian","Indian Ocean, Eastern","PISCES","PERCOIDEI","LABRIDAE","WRA"
"Pacific","Pacific, Western Central","PISCES","PERCOIDEI","LABRIDAE","WRA"
"Pacific","Pacific, Southwest","PISCES","PERCOIDEI","LABRIDAE","WRA"
"Indian","Indian Ocean, Eastern","PISCES","SILURIFORMES","ARIIDAE","CAX"
"Pacific","Pacific, Southwest","PISCES","SILURIFORMES","ARIIDAE","CAX"
"Indian","Indian Ocean, Eastern","PISCES","MUGILIFORMES","MUGILIDAE","MUL"
"Indian","Indian Ocean, Eastern","PISCES","PERCOIDEI","LUTJANIDAE","SNX"
"Pacific","Pacific, Southwest","PISCES","PERCOIDEI","LUTJANIDAE","SNX"
"Pacific","Pacific, Western Central","PISCES","PERCOIDEI","HAEMULIDAE","GRL"
"Atlantic","Atlantic, Southwest","PISCES","TETRAODONTIFORMES","MOLIDAE","MOX"
"Atlantic","Atlantic, Southwest","PISCES","HEXANCHIFORMES","HEXANCHIDAE","SBL"
"Atlantic","Atlantic, Southwest","PISCES","HEXANCHIFORMES","HEXANCHIDAE","NTC"
"Indian","Indian Ocean, Eastern","PISCES","PERCOIDEI","POMATOMIDAE","BLU"
"Southern","Indian Ocean, Antarctic","PISCES","GADIFORMES","MURAENOLEPIDIDAE","MOY"
"Southern","Indian Ocean, Antarctic","PISCES","GADIFORMES","MORIDAE","ANT"
"Indian","Indian Ocean, Eastern","PISCES","BERYCIFORMES","BERYCIDAE","CXF"
"Pacific","Pacific, Western Central","PISCES","BERYCIFORMES","BERYCIDAE","CXF"
"Pacific","Pacific, Southwest","PISCES","BERYCIFORMES","BERYCIDAE","CXF"
"Indian","Indian Ocean, Eastern","PISCES","PERCOIDEI","LATRIDAE","TRU"
"Pacific","Pacific, Southwest","PISCES","PERCOIDEI","LATRIDAE","TRU"
"","Asia - Inland waters","PISCES","SALMONIFORMES","SALMONIDAE","TRO"
"","Asia - Inland waters","PISCES","SALMONIFORMES","COREGONIDAE","WHF"
"","Asia - Inland waters","CRUSTACEA","REPTANTIA","ASTACIDAE","CRD"
"Indian","Indian Ocean, Eastern","PISCES","SCORPAENIFORMES","PLATYCEPHALIDAE","FLH"
"Pacific","Pacific, Western Central","PISCES","SCORPAENIFORMES","PLATYCEPHALIDAE","FLH"
"Pacific","Pacific, Southwest","PISCES","SCORPAENIFORMES","PLATYCEPHALIDAE","FLH"
"Southern","Pacific, Antarctic","PISCES","PERCOIDEI","CHANNICHTHYIDAE","MIC"
"Atlantic","Atlantic, Southwest","PISCES","SCOMBROIDEI","SCOMBRIDAE","SKJ"
"Indian","Indian Ocean, Eastern","PISCES","SCOMBROIDEI","GEMPYLIDAE","GEM"
"Pacific","Pacific, Western Central","PISCES","SCOMBROIDEI","GEMPYLIDAE","GEM"
"Pacific","Pacific, Southwest","PISCES","SCOMBROIDEI","GEMPYLIDAE","GEM"
"Southern","Indian Ocean, Antarctic","PISCES","STROMATEOIDEI, ANABANTOIDEI","CENTROLOPHIDAE","CEO"
"Southern","Indian Ocean, Antarctic","PISCES","SCORPAENIFORMES","CONGIOPODIDAE","ZSP"
"Atlantic","Atlantic, Southwest","MOLLUSCA","CEPHALOPODA","LOLIGINIDAE","SQP"
"Atlantic","Atlantic, Eastern Central","MOLLUSCA","CEPHALOPODA","LOLIGINIDAE","SQC"
"","Marine areas outside the Antarctic","MAMMALIA","ODONTOCETI","DELPHINIDAE","DCO"
"","Marine areas outside the Antarctic","MAMMALIA","ODONTOCETI","DELPHINIDAE","CMD"
"","Marine areas outside the Antarctic","MAMMALIA","ODONTOCETI","DELPHINIDAE","PLD"
"","Marine areas outside the Antarctic","MAMMALIA","ODONTOCETI","DELPHINIDAE","DBO"
"","Marine areas outside the Antarctic","MAMMALIA","ODONTOCETI","PHOCOENIDAE","BRP"
"","Marine areas outside the Antarctic","MAMMALIA","ODONTOCETI","PHOCOENIDAE","SPP"
"Atlantic","Atlantic, Southwest","PISCES","CARCHARHINIFORMES","SPHYRNIDAE","SPZ"
"Atlantic","Atlantic, Southwest","PISCES","PISCES MISCELLANEA","","SKH"
"Atlantic","Atlantic, Southwest","CRUSTACEA","BRACHYURA","","CRA"
"Pacific","Pacific, Western Central","PISCES","MUGILIFORMES","MUGILIDAE","MUL"
"Pacific","Pacific, Southwest","PISCES","MUGILIFORMES","MUGILIDAE","MUL"
"Indian","Indian Ocean, Eastern","PISCES","PERCOIDEI","SCIAENIDAE","KOB"
"Pacific","Pacific, Western Central","PISCES","PERCOIDEI","SCIAENIDAE","KOB"
"Pacific","Pacific, Southwest","PISCES","PERCOIDEI","SCIAENIDAE","KOB"
"Pacific","Pacific, Southwest","PISCES","PERCOIDEI","SCIAENIDAE","AWE"
"Indian","Indian Ocean, Eastern","PISCES","GADIFORMES","MERLUCCIIDAE","GRN"
"Indian","Indian Ocean, Eastern","PISCES","BERYCIFORMES","TRACHICHTHYIDAE","ORY"
"Indian","Indian Ocean, Eastern","PISCES","ZEIFORMES","ZEIDAE","JOD"
"Pacific","Pacific, Southwest","PISCES","ZEIFORMES","ZEIDAE","JOD"
"Indian","Indian Ocean, Eastern","PISCES","ZEIFORMES","ZEIDAE","ZNE"
"Pacific","Pacific, Southwest","PISCES","PERCOIDEI","NOTOTHENIIDAE","TOP"
"Southern","Indian Ocean, Antarctic","PISCES","PERCOIDEI","CHANNICHTHYIDAE","SSI"
"Indian","Indian Ocean, Eastern","PISCES","PERCOIDEI","POLYNEMIDAE","THF"
"Pacific","Pacific, Western Central","PISCES","PERCOIDEI","POLYNEMIDAE","THF"
"Indian","Indian Ocean, Eastern","PISCES","TETRAODONTIFORMES","TETRAODONTIDAE","PUX"
"Pacific","Pacific, Southwest","PISCES","TETRAODONTIFORMES","TETRAODONTIDAE","PUX"
"Indian","Indian Ocean, Eastern","PISCES","TETRAODONTIFORMES","MONACANTHIDAE","FFX"
"Pacific","Pacific, Western Central","PISCES","TETRAODONTIFORMES","MONACANTHIDAE","FFX"
"Atlantic","Atlantic, Southwest","PISCES","SCOMBROIDEI","GEMPYLIDAE","SNK"
"Atlantic","Atlantic, Southwest","PISCES","STROMATEOIDEI, ANABANTOIDEI","CENTROLOPHIDAE","SEO"
"Atlantic","Atlantic, Southwest","PISCES","SCORPAENIFORMES","SCORPAENIDAE","REQ"
"","Marine areas outside the Antarctic","MAMMALIA","ODONTOCETI","PONTOPORIIDAE","FRA"
"Pacific","Pacific, Southwest","PISCES","STROMATEOIDEI, ANABANTOIDEI","CENTROLOPHIDAE","CEO"
"Indian","Indian Ocean, Eastern","PISCES","STROMATEOIDEI, ANABANTOIDEI","CENTROLOPHIDAE","SEM"
"Pacific","Pacific, Southwest","PISCES","STROMATEOIDEI, ANABANTOIDEI","CENTROLOPHIDAE","SEM"
"Indian","Indian Ocean, Eastern","PISCES","STROMATEOIDEI, ANABANTOIDEI","CENTROLOPHIDAE","SEP"
"Pacific","Pacific, Southwest","PISCES","STROMATEOIDEI, ANABANTOIDEI","CENTROLOPHIDAE","SEP"
"Indian","Indian Ocean, Eastern","PISCES","STROMATEOIDEI, ANABANTOIDEI","CENTROLOPHIDAE","SEU"
"Indian","Indian Ocean, Eastern","PISCES","STROMATEOIDEI, ANABANTOIDEI","CENTROLOPHIDAE","BSP"
"Indian","Indian Ocean, Eastern","PISCES","STROMATEOIDEI, ANABANTOIDEI","CENTROLOPHIDAE","BWA"
"Atlantic","Atlantic, Southwest","MOLLUSCA","CEPHALOPODA","OMMASTREPHIDAE","SQS"
"","America, South - Inland waters","AMPHIBIA, REPTILIA","CROCODILIA","CROCODYLIDAE","IMO"
"","America, South - Inland waters","AMPHIBIA, REPTILIA","CROCODILIA","CROCODYLIDAE","IMY"
"Atlantic","Atlantic, Southwest","PLANTAE AQUATICAE","PHAEOPHYCEAE","LESSONIACEAE","GQO"
"Atlantic","Atlantic, Southwest","PISCES","SQUALIFORMES","SQUALIDAE","DGS"
"Southern","Atlantic, Antarctic","PISCES","RAJIFORMES","RAJIDAE","SRR"
"Atlantic","Atlantic, Southwest","CRUSTACEA","ANOMURA","LITHODIDAE","PAG"
"Atlantic","Atlantic, Southwest","CRUSTACEA","NATANTIA","PENAEIDAE","ASH"
"Pacific","Pacific, Southwest","PISCES","PERCOIDEI","SERRANIDAE","BSX"
"Indian","Indian Ocean, Eastern","PISCES","PERCOIDEI","SILLAGINIDAE","WHS"
"Indian","Indian Ocean, Eastern","PISCES","PERCOIDEI","SPARIDAE","GSU"
"Pacific","Pacific, Western Central","PISCES","PERCOIDEI","SPARIDAE","GSU"
"Indian","Indian Ocean, Eastern","PISCES","ANGUILLIFORMES","ANGUILLIDAE","ELU"
"Pacific","Pacific, Southwest","PISCES","ANGUILLIFORMES","ANGUILLIDAE","ELU"
"Southern","Indian Ocean, Antarctic","PISCES","GADIFORMES","MACROURIDAE","MCC"
"Southern","Indian Ocean, Antarctic","PISCES","GADIFORMES","MACROURIDAE","MCH"
"Southern","Indian Ocean, Antarctic","PISCES","GADIFORMES","MACROURIDAE","QMC"
"Atlantic","Atlantic, Western Central","CRUSTACEA","BRACHYURA","XANTHIDAE","STC"
"Atlantic","Atlantic, Western Central","CRUSTACEA","BRACHYURA","PISIDAE","KEM"
"Indian","Indian Ocean, Western","PISCES","PERCOIDEI","TERAPONTIDAE","PQD"
"Indian","Indian Ocean, Western","PISCES","PERCOIDEI","SILLAGINIDAE","WHS"
"Indian","Indian Ocean, Western","PISCES","PERCOIDEI","LUTJANIDAE","RES"
"Indian","Indian Ocean, Western","PISCES","PERCOIDEI","HAEMULIDAE","DGP"
"Indian","Indian Ocean, Western","PISCES","PERCOIDEI","HAEMULIDAE","PKP"
"Indian","Indian Ocean, Western","PISCES","PERCOIDEI","HAEMULIDAE","GQD"
"Indian","Indian Ocean, Western","PISCES","PERCOIDEI","HAEMULIDAE","PKS"
"Indian","Indian Ocean, Eastern","PISCES","SCOMBROIDEI","SCOMBRIDAE","LOT"
"Indian","Indian Ocean, Western","PISCES","ATHERINIFORMES","ATHERINIDAE","SIL"
"Indian","Indian Ocean, Western","PISCES","PERCOIDEI","CARANGIDAE","LSJ"
"Indian","Indian Ocean, Western","PISCES","PERCOIDEI","CARANGIDAE","POO"
"Indian","Indian Ocean, Western","PISCES","PERCOIDEI","CARANGIDAE","AMB"
"Indian","Indian Ocean, Western","PISCES","PERCOIDEI","CARANGIDAE","GLT"
"Indian","Indian Ocean, Western","PISCES","PERCOIDEI","CARANGIDAE","HAS"
"Pacific","Pacific, Southwest","PISCES","SCOMBROIDEI","ISTIOPHORIDAE","MLS"
"","Asia - Inland waters","PISCES","GOBIOIDEI","GOBIIDAE","FGX"
"","Asia - Inland waters","PISCES","ACIPENSERIFORMES","ACIPENSERIDAE","STU"
"Indian","Indian Ocean, Eastern","PISCES","CLUPEIFORMES","CLUPEIDAE","HIL"
"Indian","Indian Ocean, Eastern","PISCES","SCOMBROIDEI","SCOMBRIDAE","BAU"
"Pacific","Pacific, Western Central","PISCES","SCOMBROIDEI","SCOMBRIDAE","WAH"
"Southern","Indian Ocean, Antarctic","PISCES","RAJIFORMES","RAJIDAE","BAM"
"Pacific","Pacific, Western Central","PISCES","SCOMBROIDEI","SCOMBRIDAE","LOT"
"Pacific","Pacific, Southwest","PISCES","SCOMBROIDEI","SCOMBRIDAE","LOT"
"Indian","Indian Ocean, Eastern","PISCES","SCOMBROIDEI","ISTIOPHORIDAE","SSP"
"Pacific","Pacific, Western Central","PISCES","SCOMBROIDEI","ISTIOPHORIDAE","SSP"
"Pacific","Pacific, Southwest","PISCES","SCOMBROIDEI","ISTIOPHORIDAE","SSP"
"Pacific","Pacific, Western Central","PISCES","SCOMBROIDEI","ISTIOPHORIDAE","BIL"
"Pacific","Pacific, Southwest","PISCES","SCOMBROIDEI","ISTIOPHORIDAE","BIL"
"Pacific","Pacific, Southwest","PISCES","SCOMBROIDEI","XIPHIIDAE","SWO"
"Indian","Indian Ocean, Eastern","CRUSTACEA","NATANTIA","PENAEIDAE","GIT"
"Indian","Indian Ocean, Eastern","PISCES","AULOPIFORMES","SYNODONTIDAE","BUC"
"Indian","Indian Ocean, Eastern","PISCES","PERCOIDEI","POLYNEMIDAE","OYD"
"Indian","Indian Ocean, Eastern","PISCES","SCOMBROIDEI","SCOMBRIDAE","KGX"
"","Asia - Inland waters","CRUSTACEA","CRUSTACEA MISCELLANEA","","FCX"
"Indian","Indian Ocean, Eastern","PISCES","PERCOIDEI","CARANGIDAE","AMX"
"Southern","Indian Ocean, Antarctic","PISCES","RAJIFORMES","RAJIDAE","BMU"
"Southern","Indian Ocean, Antarctic","PISCES","RAJIFORMES","RAJIDAE","BYR"
"Southern","Indian Ocean, Antarctic","MOLLUSCA","MOLLUSCA MISCELLANEA","","MOL"
"","Oceania - Inland waters","CRUSTACEA","REPTANTIA","PARASTACIDAE","AYA"
"Indian","Indian Ocean, Eastern","CRUSTACEA","BRACHYURA","PORTUNIDAE","SCD"
"Pacific","Pacific, Western Central","CRUSTACEA","BRACHYURA","PORTUNIDAE","SCD"
"Pacific","Pacific, Southwest","CRUSTACEA","BRACHYURA","PORTUNIDAE","SCD"
"Pacific","Pacific, Western Central","CRUSTACEA","NATANTIA","PENAEIDAE","GIT"
"Pacific","Pacific, Southwest","CRUSTACEA","NATANTIA","PENAEIDAE","GIT"
"Pacific","Pacific, Western Central","CRUSTACEA","NATANTIA","PENAEIDAE","WKP"
"Indian","Indian Ocean, Eastern","CRUSTACEA","NATANTIA","PENAEIDAE","PEN"
"Pacific","Pacific, Western Central","CRUSTACEA","NATANTIA","PENAEIDAE","PEN"
"Southern","Indian Ocean, Antarctic","INVERTEBRATA AQUATICA","CNIDARIA","","CNI"
"Pacific","Pacific, Western Central","PISCES","PERCOIDEI","CARANGIDAE","AMX"
"Pacific","Pacific, Southwest","PISCES","PERCOIDEI","CORYPHAENIDAE","DOL"
"Indian","Indian Ocean, Eastern","PISCES","SCOMBROIDEI","SCOMBRIDAE","MAX"
"Pacific","Pacific, Southwest","PISCES","SCOMBROIDEI","SCOMBRIDAE","MAX"
"Indian","Indian Ocean, Eastern","PISCES","PISCES MISCELLANEA","","PPX"
"Indian","Indian Ocean, Eastern","MOLLUSCA","BIVALVIA","PECTINIDAE","SCX"
"","Marine areas outside the Antarctic","MAMMALIA","ODONTOCETI","DELPHINIDAE","DSI"
"","Marine areas outside the Antarctic","MAMMALIA","ODONTOCETI","DELPHINIDAE","DLP"
"","Marine areas outside the Antarctic","MAMMALIA","ODONTOCETI","KOGIIDAE","PYW"
"","Oceania - Inland waters","AMPHIBIA, REPTILIA","CROCODILIA","CROCODYLIDAE","CDP"
"","Oceania - Inland waters","AMPHIBIA, REPTILIA","CROCODILIA","CROCODYLIDAE","CRH"
"Southern","Indian Ocean, Antarctic","INVERTEBRATA AQUATICA","ASCIDIACEA","","SSX"
"Southern","Indian Ocean, Antarctic","INVERTEBRATA AQUATICA","ANTHOZOA","GORGONIIDAE","GGW"
"Southern","Indian Ocean, Antarctic","INVERTEBRATA AQUATICA","ANTHOZOA","","CSS"
"Southern","Indian Ocean, Antarctic","INVERTEBRATA AQUATICA","ANTHOZOA","","ATX"
"Southern","Indian Ocean, Antarctic","INVERTEBRATA AQUATICA","DEMOSPONGIAE","SPONGIIDAE","SPO"
"Pacific","Pacific, Western Central","MOLLUSCA","BIVALVIA","PECTINIDAE","SCX"
"Pacific","Pacific, Southwest","MOLLUSCA","BIVALVIA","PECTINIDAE","SCX"
"Indian","Indian Ocean, Eastern","MOLLUSCA","BIVALVIA","MESODESMATIDAE","AFQ"
"Pacific","Pacific, Southwest","MOLLUSCA","BIVALVIA","MESODESMATIDAE","AFQ"
"Indian","Indian Ocean, Western","PISCES","PERCOIDEI","LETHRINIDAE","LHN"
"Indian","Indian Ocean, Western","PISCES","PERCOIDEI","LETHRINIDAE","LTS"
"Indian","Indian Ocean, Western","PISCES","PERCOIDEI","LETHRINIDAE","LEN"
"Indian","Indian Ocean, Western","PISCES","PERCOIDEI","SPARIDAE","SLD"
"Indian","Indian Ocean, Western","PISCES","PERCOIDEI","SPARIDAE","RXS"
"Indian","Indian Ocean, Western","PISCES","PERCOIDEI","SPARIDAE","SZH"
"Indian","Indian Ocean, Western","PISCES","PERCOIDEI","SPARIDAE","MLB"
"Indian","Indian Ocean, Western","PISCES","PERCOIDEI","SPARIDAE","AAB"
"Indian","Indian Ocean, Western","PISCES","PERCOIDEI","CARANGIDAE","OBM"
"Indian","Indian Ocean, Western","PISCES","PERCOIDEI","CARANGIDAE","QUE"
"Indian","Indian Ocean, Western","PISCES","PERCOIDEI","CARANGIDAE","RNJ"
"Indian","Indian Ocean, Western","PISCES","PERCOIDEI","CARANGIDAE","CGX"
"Indian","Indian Ocean, Western","PISCES","PERCOIDEI","ECHENEIDAE","EHN"
"Indian","Indian Ocean, Western","PISCES","OTHER PERCIFORMES","SPHYRAENIDAE","BAC"
"Indian","Indian Ocean, Western","PISCES","OTHER PERCIFORMES","SPHYRAENIDAE","YRB"
"Indian","Indian Ocean, Western","PISCES","OTHER PERCIFORMES","SPHYRAENIDAE","BAN"
"","Asia - Inland waters","PISCES","CLUPEIFORMES","CLUPEIDAE","ASP"
"","Asia - Inland waters","PISCES","CLUPEIFORMES","CLUPEIDAE","CLA"
"","Asia - Inland waters","PISCES","MUGILIFORMES","MUGILIDAE","MUL"
"Atlantic","Atlantic, Western Central","PISCES","PERCOIDEI","SERRANIDAE","GPN"
"Pacific","Pacific, Southwest","PISCES","SCOMBROIDEI","SCOMBRIDAE","WAH"
"Indian","Indian Ocean, Eastern","PISCES","SCOMBROIDEI","SCOMBRIDAE","COM"
"Pacific","Pacific, Western Central","PISCES","SCOMBROIDEI","SCOMBRIDAE","COM"
