"OCEAN","REGION","MAJOR_GROUP","ORDER","FAMILY","SPECIES"
"Pacific","Pacific, Northwest","PISCES","PERCOIDEI","MENIDAE","MOO"
"Pacific","Pacific, Northwest","PISCES","PERCOIDEI","LUTJANIDAE","LUJ"
"Pacific","Pacific, Northwest","PISCES","PERCOIDEI","LUTJANIDAE","LJB"
"Pacific","Pacific, Northwest","PISCES","PERCOIDEI","NEMIPTERIDAE","THG"
"Pacific","Pacific, Northwest","PISCES","SCOMBROIDEI","GEMPYLIDAE","OIL"
"","Asia - Inland waters","CRUSTACEA","NATANTIA","PALAEMONIDAE","EXO"
"","Asia - Inland waters","CRUSTACEA","NATANTIA","PALAEMONIDAE","MNX"
"","Asia - Inland waters","CRUSTACEA","BRACHYURA","GRAPSIDAE","ERS"
"Pacific","Pacific, Northwest","CRUSTACEA","BRACHYURA","PORTUNIDAE","YBX"
"Pacific","Pacific, Northwest","CRUSTACEA","BRACHYURA","PORTUNIDAE","SCD"
"Atlantic","Atlantic, Northeast","PISCES","SCOMBROIDEI","ISTIOPHORIDAE","SAI"
"Atlantic","Atlantic, Southeast","PISCES","SCOMBROIDEI","ISTIOPHORIDAE","SPF"
"Pacific","Pacific, Northwest","PISCES","SCOMBROIDEI","SCOMBRIDAE","FRZ"
"Pacific","Pacific, Northwest","PISCES","SCOMBROIDEI","SCOMBRIDAE","KAW"
"Pacific","Pacific, Southeast","PISCES","PERCOIDEI","EPIGONIDAE","CDL"
"Pacific","Pacific, Southeast","PISCES","SCOMBROIDEI","GEMPYLIDAE","SNK"
"Pacific","Pacific, Northwest","PISCES","CARCHARHINIFORMES","CARCHARHINIDAE","BSH"
"Pacific","Pacific, Southeast","CRUSTACEA","ANOMURA","LITHODIDAE","KCX"
"Pacific","Pacific, Southeast","CRUSTACEA","NATANTIA","PANDALIDAE","CHS"
"Pacific","Pacific, Southeast","CRUSTACEA","NATANTIA","SOLENOCERIDAE","HJD"
"Atlantic","Atlantic, Southeast","PISCES","LAMNIFORMES","LAMNIDAE","SMA"
"Pacific","Pacific, Northwest","PISCES","PERCOIDEI","LETHRINIDAE","LBR"
"Pacific","Pacific, Northwest","PISCES","PERCOIDEI","CARANGIDAE","SDX"
"Pacific","Pacific, Northwest","PISCES","PERCOIDEI","CARANGIDAE","TRE"
"Pacific","Pacific, Northwest","PISCES","STROMATEOIDEI, ANABANTOIDEI","STROMATEIDAE","BUX"
"Pacific","Pacific, Northwest","PISCES","MUGILIFORMES","MUGILIDAE","SOY"
"Pacific","Pacific, Northwest","MOLLUSCA","CEPHALOPODA","OCTOPODIDAE","OCT"
"Pacific","Pacific, Northwest","MOLLUSCA","CEPHALOPODA","","CEP"
"Pacific","Pacific, Northwest","PISCES","PERCOIDEI","SCIAENIDAE","MIH"
"Pacific","Pacific, Northwest","PISCES","PERCOIDEI","SCIAENIDAE","CRL"
"Pacific","Pacific, Northwest","PISCES","SCOMBROIDEI","ISTIOPHORIDAE","BLM"
"Pacific","Pacific, Northwest","PISCES","SCORPAENIFORMES","TRIGLIDAE","KUG"
"","Asia - Inland waters","PISCES","SALMONIFORMES","PLECOGLOSSIDAE","PCA"
"Pacific","Pacific, Northwest","PISCES","CLUPEIFORMES","CLUPEIDAE","DAS"
"Pacific","Pacific, Northwest","PISCES","GONORYNCHIFORMES","CHANIDAE","MIL"
"Atlantic","Atlantic, Eastern Central","PISCES","SCOMBROIDEI","ISTIOPHORIDAE","BIL"
"Pacific","Pacific, Northwest","PISCES","SCOMBROIDEI","ISTIOPHORIDAE","BIL"
"Pacific","Pacific, Northwest","PISCES","SCOMBROIDEI","SCOMBRIDAE","PBF"
"Pacific","Pacific, Southwest","PISCES","CARCHARHINIFORMES","CARCHARHINIDAE","BSH"
"Indian","Indian Ocean, Western","PISCES","CARCHARHINIFORMES","CARCHARHINIDAE","OCS"
"Pacific","Pacific, Southeast","CRUSTACEA","THORACICA","BALANIDAE","MBZ"
"Pacific","Pacific, Southeast","CRUSTACEA","CRUSTACEA MISCELLANEA","","CRU"
"Pacific","Pacific, Northwest","PISCES","LAMNIFORMES","LAMNIDAE","SMA"
"Pacific","Pacific, Eastern Central","PISCES","LAMNIFORMES","LAMNIDAE","SMA"
"Pacific","Pacific, Northwest","PISCES","ANGUILLIFORMES","MURAENESOCIDAE","PCX"
"Pacific","Pacific, Northwest","PISCES","PERCOIDEI","SCIAENIDAE","LYC"
"Southern","Atlantic, Antarctic","INVERTEBRATA AQUATICA","THALIACEA","SALPIDAE","SPX"
"Pacific","Pacific, Northwest","INVERTEBRATA AQUATICA","SCYPHOZOA","RHIZOSTOMIDAE","JEL"
"Pacific","Pacific, Northwest","INVERTEBRATA AQUATICA","ANTHOZOA","CORALLIIDAE","COJ"
"Pacific","Pacific, Northwest","INVERTEBRATA AQUATICA","ANTHOZOA","CORALLIIDAE","CEL"
"Pacific","Pacific, Northwest","INVERTEBRATA AQUATICA","ANTHOZOA","CORALLIIDAE","COK"
"Pacific","Pacific, Northwest","INVERTEBRATA AQUATICA","ANTHOZOA","CORALLIIDAE","CDE"
"","Asia - Inland waters","MOLLUSCA","MOLLUSCA MISCELLANEA","","MOF"
