"Year","MonthStart","Gear","Fleet","EffortUnits","QualityCode","Source","Region","Ocean","FAO_AREA_CODE","effort"
1972,5,"LL","TWN","HOOKS",3,"LO",NA,NA,NA,13700
1972,6,"LL","TWN","HOOKS",3,"LO","Indian Ocean, Western","Indian","51",72433.3333333333
1972,6,"LL","TWN","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",114200
1972,6,"LL","TWN","HOOKS",3,"LO",NA,NA,NA,6300
1972,7,"LL","TWN","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",79358.8235294118
1972,7,"LL","TWN","HOOKS",3,"LO","Indian Ocean, Western","Indian","51",66950
1972,7,"LL","TWN","HOOKS",3,"LO",NA,NA,NA,12400
1972,8,"LL","TWN","HOOKS",3,"LO","Indian Ocean, Western","Indian","51",75586.9565217391
1972,8,"LL","TWN","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",76312.5
1972,9,"LL","TWN","HOOKS",3,"LO","Indian Ocean, Western","Indian","51",79879.1666666667
1972,9,"LL","TWN","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",61747.3684210526
1972,9,"LL","TWN","HOOKS",3,"LO",NA,NA,NA,73800
1972,10,"LL","TWN","HOOKS",3,"LO","Indian Ocean, Western","Indian","51",66729.0322580645
1972,10,"LL","TWN","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",56187.5
1972,10,"LL","TWN","HOOKS",3,"LO",NA,NA,NA,41700
1972,11,"LL","TWN","HOOKS",3,"LO","Indian Ocean, Western","Indian","51",105362.5
1972,11,"LL","TWN","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",110637.5
1972,11,"LL","TWN","HOOKS",3,"LO",NA,NA,NA,35750
1972,12,"LL","TWN","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",114609.090909091
1972,12,"LL","TWN","HOOKS",3,"LO","Indian Ocean, Western","Indian","51",126461.111111111
1972,12,"LL","TWN","HOOKS",3,"LO",NA,NA,NA,241400
1973,1,"LL","TWN","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",73807.1428571429
1973,1,"LL","TWN","HOOKS",3,"LO","Indian Ocean, Western","Indian","51",89366.6666666667
1973,1,"LL","TWN","HOOKS",3,"LO",NA,NA,NA,324000
1973,2,"LL","TWN","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",91564.2857142857
1973,2,"LL","TWN","HOOKS",3,"LO","Indian Ocean, Western","Indian","51",64341.1764705882
1973,3,"LL","TWN","HOOKS",3,"LO","Indian Ocean, Western","Indian","51",48713.3333333333
1973,3,"LL","TWN","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",88522.7272727273
1973,3,"LL","TWN","HOOKS",3,"LO",NA,NA,NA,24100
1973,4,"LL","TWN","HOOKS",3,"LO","Indian Ocean, Western","Indian","51",73166.6666666667
1973,4,"LL","TWN","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",62280
1973,5,"LL","TWN","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",61722.2222222222
