"GLOBAL","YEAR","SPECIES","QUANTITY"
"GLOBAL",1950-01-01,"DEL",3200
"GLOBAL",1950-01-01,"DES",7000
"GLOBAL",1950-01-01,"DEX",5500
"GLOBAL",1950-01-01,"DGH",100
"GLOBAL",1950-01-01,"DGM",0
"GLOBAL",1950-01-01,"DGS",20300
"GLOBAL",1950-01-01,"DGX",15545
"GLOBAL",1950-01-01,"DIG",0
"GLOBAL",1950-01-01,"DMO",0
"GLOBAL",1950-01-01,"DOB",300
"GLOBAL",1950-01-01,"DOL",7103
"GLOBAL",1950-01-01,"DON",0
"GLOBAL",1950-01-01,"DOS",5100
"GLOBAL",1950-01-01,"DOT",0
"GLOBAL",1950-01-01,"DPC",22000
"GLOBAL",1950-01-01,"DPN",0
"GLOBAL",1950-01-01,"DPS",15900
"GLOBAL",1950-01-01,"DPX",25300
"GLOBAL",1950-01-01,"DRY",5800
"GLOBAL",1950-01-01,"DST",0
"GLOBAL",1950-01-01,"DUN",11600
"GLOBAL",1950-01-01,"DWH",0
"GLOBAL",1950-01-01,"DWP",0
"GLOBAL",1950-01-01,"EAG",0
"GLOBAL",1950-01-01,"ECH",0
"GLOBAL",1950-01-01,"ECN",0
"GLOBAL",1950-01-01,"EDJ",0
"GLOBAL",1950-01-01,"EDR",0
"GLOBAL",1950-01-01,"EED",0
"GLOBAL",1950-01-01,"EEU",100
"GLOBAL",1950-01-01,"EFD",0
"GLOBAL",1950-01-01,"EFH",0
"GLOBAL",1950-01-01,"EFJ",0
"GLOBAL",1950-01-01,"EHI",0
"GLOBAL",1950-01-01,"ELA",954
"GLOBAL",1950-01-01,"ELE",14095
"GLOBAL",1950-01-01,"ELJ",2000
"GLOBAL",1950-01-01,"ELX",183
"GLOBAL",1950-01-01,"ELZ",0
"GLOBAL",1950-01-01,"EMM",0
"GLOBAL",1950-01-01,"EMP",3200
"GLOBAL",1950-01-01,"EMT",0
"GLOBAL",1950-01-01,"EMV",0
"GLOBAL",1950-01-01,"ENX",0
"GLOBAL",1950-01-01,"EOI",0
"GLOBAL",1950-01-01,"EPI",0
"GLOBAL",1950-01-01,"ERP",359
"GLOBAL",1950-01-01,"ERS",0
"GLOBAL",1950-01-01,"ETR",0
"GLOBAL",1950-01-01,"ETX",0
"GLOBAL",1950-01-01,"EUG",0
"GLOBAL",1950-01-01,"EUL",869
"GLOBAL",1950-01-01,"EYO",0
"GLOBAL",1950-01-01,"FAC",0
"GLOBAL",1950-01-01,"FAL",0
"GLOBAL",1950-01-01,"FAS",0
"GLOBAL",1950-01-01,"FBM",105300
"GLOBAL",1950-01-01,"FBR",0
"GLOBAL",1950-01-01,"FCC",2000
"GLOBAL",1950-01-01,"FCH",3400
"GLOBAL",1950-01-01,"FCP",32431
"GLOBAL",1950-01-01,"FCX",2400
"GLOBAL",1950-01-01,"FCY",17050
"GLOBAL",1950-01-01,"FFX",1500
"GLOBAL",1950-01-01,"FGB",400
"GLOBAL",1950-01-01,"FGG",150
"GLOBAL",1950-01-01,"FGO",7065
"GLOBAL",1950-01-01,"FGS",10036
"GLOBAL",1950-01-01,"FGX",200
"GLOBAL",1950-01-01,"FIE",0
"GLOBAL",1950-01-01,"FIN",167997
"GLOBAL",1950-01-01,"FIO",0
"GLOBAL",1950-01-01,"FIS",2100
"GLOBAL",1950-01-01,"FIW",21275
"GLOBAL",1950-01-01,"FLA",1000
"GLOBAL",1950-01-01,"FLE",9700
"GLOBAL",1950-01-01,"FLH",1500
"GLOBAL",1950-01-01,"FLS",5124
"GLOBAL",1950-01-01,"FLW",13913
